Name,Country,Team,Position,Appearances,Goals,Interceptions,Time Played (min),Fouls Conceded,Total Passes,Touches,Yellow Cards
Bruno Méndez,UY,GRA,Defender,17,2,26,1336,14,543,820,4
Bryan Fiabema,NO,RSO,Forward,0,0,0,0,0,0,0,0
Bryan Zaragoza,ES,BAY,Forward,7,0,2,178,2,71,129,1
Miguel Jiménez Capitas,ES,SEV,Midfielder,0,0,0,0,0,0,0,0
Carl Starfelt,SE,CEL,Defender,27,1,34,2218,15,1031,1360,4
Carles Aleñá,ES,GET,Midfielder,29,1,4,1008,22,357,586,6
Carles Garrido,ES,GIR,Forward,0,0,0,0,0,0,0,0
Carles Pérez,ES,CEL,Forward,16,1,5,769,15,236,431,3
Carlos Benavídez,UY,ALA,Midfielder,29,3,19,1120,38,451,656,5
Carlos Domínguez,ES,CEL,Defender,22,0,22,1585,15,855,1096,2
Carlos Dotor,ES,CEL,Midfielder,17,0,4,702,14,336,438,2
Carlos Fernández,ES,RSO,Forward,10,2,0,406,15,82,161,3
Carlos Neva,ES,GRA,Defender,36,0,30,3152,22,1264,2088,4
Carlos Romero,ES,VIL,Defender,22,0,14,1719,21,821,1215,4
Carlos Vicente,ES,ALA,Forward,18,2,4,1118,18,260,551,1
Cenk Özkacar,TR,VAL,Defender,23,0,18,1595,13,831,1053,3
Chadi Riad,MA,BET,Defender,26,0,23,2164,15,1195,1450,1
Chimy Ávila,AR,BET,Forward,6,1,1,301,3,78,141,2
Chris Ramos,ES,CAD,Forward,37,5,9,2627,61,467,1017,5
Juan Brandáriz Movilla,ES,ALM,Defender,31,0,14,2432,23,1176,1485,4
Claudio Bravo,CL,BET,Goalkeeper,7,0,0,630,0,199,261,0
Coke Carrillo,ES,CEL,Goalkeeper,0,0,0,0,0,0,0,0
Conan Ledesma,AR,CAD,Goalkeeper,34,0,0,3049,1,1066,1396,0
José Manuel Arias Copete,ES,MLL,Defender,19,1,32,1336,36,571,791,7
Cristhian Mosquera,ES,VAL,Defender,36,0,36,3074,25,1624,2038,2
Cristhian Stuani,UY,GIR,Forward,31,9,5,782,28,114,235,6
Cristian Herrera,ES,LPA,Forward,8,1,0,159,3,99,125,1
Cristian Rivero,ES,VAL,Goalkeeper,1,0,0,56,0,14,22,0
Cyle Larin,CA,MLL,Forward,35,3,3,1823,27,283,638,8
Cédric Bakambu,CD,BET,Forward,4,0,0,195,4,39,75,1
César Azpilicueta,ES,ATM,Defender,25,0,16,1421,29,907,1203,4
César Fernández,ES,CEL,Goalkeeper,0,0,0,0,0,0,0,0
César Montes,MX,ALM,Defender,21,0,11,1792,22,963,1182,5
César Tárrega,ES,VLL,Defender,16,1,23,1309,24,793,979,2
Daley Blind,NL,GIR,Defender,34,1,21,2971,19,2524,2925,6
Daley Sinkgraven,NL,LPA,Defender,10,0,6,375,4,236,331,0
Damián Rodríguez,ES,CEL,Midfielder,5,0,1,257,4,204,234,1
Damián Suárez,UY,NONE,NONE,0,0,0,0,0,0,0,0
Dani Carvajal,ES,RMA,Defender,28,4,22,2172,23,1272,1771,3
Dani Ceballos,ES,RMA,Midfielder,20,0,0,586,5,528,645,2
Dani Cárdenas,ES,RAY,Goalkeeper,1,0,0,90,0,35,42,0
Daniel García Carrillo,ES,ATH,Midfielder,17,1,8,738,11,330,417,4
Dani Parejo,ES,VIL,Midfielder,33,3,21,2586,18,1775,2138,4
Daniel Pérez Guerrero,ES,BET,Midfielder,0,0,0,0,0,0,0,0
Dani Rodríguez,ES,MLL,Midfielder,36,2,15,2632,61,819,1452,9
Dani Vivian,ES,ATH,Defender,33,0,31,2879,37,1698,2080,6
Daniel Budesca,ES,VIL,Defender,0,0,0,0,0,0,0,0
Daniel Cerantola Fuzato,BR,GET,Goalkeeper,1,0,0,6,0,9,12,0
Daniel Luna,CO,MIR,Midfielder,9,0,0,105,1,42,83,0
Darko Brasanac,RS,LEG,Midfielder,15,0,7,652,10,266,349,3
Darwin Machís,VE,CAD,Forward,21,4,4,782,12,219,429,0
Darío Benavides,ES,SEV,Defender,0,0,0,0,0,0,0,0
David Alaba,AT,RMA,Defender,14,0,15,1156,4,878,1015,2
David García,ES,OSA,Defender,27,0,18,2336,33,1325,1621,5
David Gil,ES,CAD,Goalkeeper,5,0,0,371,0,144,184,1
David López,ES,GIR,Midfielder,25,3,20,1975,17,1578,1804,4
David López,ES,ELC,Defender,2,0,0,3,2,2,2,0
David Otorbi,ES,VAL,Forward,0,0,0,0,0,0,0,0
David Soria,ES,GET,Goalkeeper,38,0,0,3414,1,1166,1480,3
Denis Suárez,ES,VIL,Midfielder,4,0,0,131,4,89,123,0
Diadié Samassékou,ML,CAD,Midfielder,4,0,3,87,2,47,64,0
Diego Hormigo,ES,SEV,Defender,1,0,0,36,1,9,18,0
Diego Kochen,US,BAR,Goalkeeper,0,0,0,0,0,0,0,0
Diego López,ES,VAL,Forward,36,3,20,2670,26,706,1190,2
Diego López,ES,GET,Midfielder,0,0,0,0,0,0,0,0
Diego Mariño,ES,ALM,Goalkeeper,1,0,0,90,0,21,30,0
Diego Méndez,ES,RAY,Defender,1,0,1,4,1,2,4,0
Diego Piñeiro,ES,RMA,Goalkeeper,0,0,0,0,0,0,0,0
Diego Rico,ES,GET,Defender,32,0,41,2535,32,1044,1922,10
